Time [s],Flags,FrameId,PayloadLength,HeaderCRC,CycleCount,Data,CRC
0.003619730000000,4,65,17,173,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,9853607
0.003682600000000,4,67,4,1053,50,7|0|0|128|247|254|254|254,10355644
0.003790490000000,4,77,31,360,50,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|240|255|255|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,9648050
0.005874720000000,4,2,17,1611,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|246|21|180|223|161|2|0|0|0|16,10311858
0.005926920000000,0,3,17,1982,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,16165154
0.005979120000000,4,4,17,629,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|103|11|4|0|128|255|0|0|23|59|0|64|104|0|0|0|0|80,3993224
0.006031550000000,4,5,17,896,51,236|57|64|0|92|255|91|147|111|9|64|0|0|0|0|0|251|9|0|0|0|2|192|255|0|0|0|0|0|0|0|0|0|224,16642301
0.006083770000000,4,6,17,415,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|97|31|0|0|72|2|0|0|0|48,5701511
0.006135700000000,4,7,17,106,51,146|10|0|96|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|128,2570756
0.006187900000000,7,8,17,1711,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22|0|0|0|0|0|0|0|0|20,6558181
0.006240100000000,0,9,17,121,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1864139
0.006397040000000,4,12,17,1624,51,106|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|192,15379996
0.006448880000000,4,13,17,1965,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8,8791668
0.006657910000000,4,17,17,1931,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,955575
0.006710220000000,4,18,17,1428,51,227|36|0|136|0|8|0|8|0|0|0|0|0|0|0|0|81|84|0|0|0|0|5|0|194|37|0|120|0|232|255|7|0|176,72128
0.006762500000000,4,19,17,1121,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|212|80|0|128|0|128|5|0|56|225|255|215|255|135|30|8|0|48,1152596
0.006814710000000,4,20,17,426,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,607681
0.006866910000000,0,21,17,95,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14601269
0.006971070000000,4,23,17,949,51,56|25|0|6|72|23|177|187|214|25|1|16|0|0|0|0|0|0|0|0|0|0|0|0|165|249|3|128|0|0|131|0|0|208,15925205
0.007023230000000,7,24,17,1392,51,176|0|0|56|0|80|36|0|95|240|0|0|0|0|0|0|112|240|159|0|0|0|0|0|242|0|253|63|240|0|224|255|0|240,12544164
0.007075410000000,4,25,17,934,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|162|64|6|100|0|0|16|0|0|0|0|0|0|0|0|0|0|48,8563061
0.007127610000000,4,26,17,441,51,39|224|255|253|191|255|247|255|226|192|191|127|254|63|254|63|188|0|25|0|0|0|0|126|4|0|0|0|0|0|0|0|0|212,858479
0.007231940000000,4,28,17,1415,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|192|93|226|17|240|31|0|0|0|0|0|112,485312
0.007284130000000,4,29,17,1138,51,195|225|191|255|35|20|0|0|77|129|109|0|255|0|253|1|85|209|68|4|0|0|0|128|221|137|245|42|1|0|0|0|0|240,11818454
0.007388530000000,4,31,17,1944,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,7326280
0.007440730000000,4,32,17,543,51,0|84|51|0|0|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|240|251|223|255|0|0|0|0|0|0|0|0|0|160,10434652
0.007492930000000,4,33,17,1002,51,148|2|0|250|95|255|243|255|47|66|215|224|255|253|239|255|169|162|127|244|127|255|243|255|0|0|0|0|0|0|0|0|0|224,12976858
0.007545130000000,4,34,17,501,51,0|0|33|20|0|0|0|0|81|210|94|127|253|1|0|0|228|2|255|127|255|3|0|125|185|0|255|243|191|255|225|2|0|240,10700018
0.007597330000000,0,35,17,0,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6784253
0.007649510000000,0,36,17,1483,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2463360
0.007754260000000,0,38,17,1569,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6313355
0.007805980000000,0,39,17,2004,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15467243
0.008014880000000,0,43,17,1069,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,13147935
0.008119530000000,7,45,17,1840,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|122|3|0|0|0|0|0|0|0|48,12711407
0.008327930000000,0,49,17,53,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,12871676
0.008380130000000,4,50,17,554,51,0|192|126|184|0|128|82|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|128,441087
0.008432330000000,4,51,17,991,51,0|0|0|0|0|0|0|0|109|0|0|0|0|0|16|254|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64,3681293
0.008493790000000,4,53,4,187,51,64|12|4|1|0|0|0|0,10257832
0.008619750000000,4,65,17,173,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|99|9|0|0|0|0|222|56|202|73|0|0|3|254|7|0|0|112,10525041
0.008781750000000,4,78,44,1066,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16,4636745
0.009105600000000,4,103,43,1874,51,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|128,13577602
0.010874910000000,4,2,17,1611,52,0|0|0|0|0|0|0|0|0|0|165|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64,1615568
0.010927110000000,0,3,17,1982,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15932834
0.010979310000000,4,4,17,629,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|181|11|0|0|0|255|31|0|205|139|0|254|7|0|0|42|0|80,15661593
0.011031720000000,4,5,17,896,52,0|0|0|1|9|0|0|253|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|86|9|0|8|8|8|0|12|0|144,12943975
0.011083870000000,4,6,17,415,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|249|8|0|0|203|42|167|3|90|56|244|72|3|1|128|0|0|112,15010604
0.011135890000000,4,7,17,106,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|144|201|0|16,3047631
0.011188090000000,7,8,17,1711,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|28|8|30|128|254|247|255|127|0|0|0|0|0|0|0|0|0|36,13111243
0.011240290000000,0,9,17,121,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1688907
0.011397160000000,4,12,17,1624,52,196|3|0|0|0|2|128|208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|128,5229597
0.011449060000000,0,13,17,1965,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9585501
0.011658100000000,4,17,17,1931,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|218|1|130|13|0|85|0|0|0|48,13655088
0.011710340000000,4,18,17,1428,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|139|54|0|152|0|232|255|7|0|16,397540
0.011762580000000,4,19,17,1121,52,0|176|248|195|128|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|38|34|0|216|255|183|30|8|0|144,3499541
0.011814790000000,4,20,17,426,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|237|9|127|114|133|121|254|0|0|48,772149
0.011866990000000,0,21,17,95,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,14383285
0.011971250000000,4,23,17,949,52,255|254|1|255|254|1|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|128,15579037
0.012023310000000,7,24,17,1392,52,27|225|191|0|0|0|0|0|27|1|0|0|0|0|0|0|134|1|0|0|0|0|0|255|1|1|0|0|0|12|0|0|0|240,8700932
0.012075490000000,4,25,17,934,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|60|1|132|10|0|0|16|0|0|48,1948152
0.012127690000000,4,26,17,441,52,238|225|255|253|191|255|247|255|133|225|255|0|128|255|247|255|84|225|255|251|255|0|0|0|224|33|166|0|0|0|0|50|0|116,7532128
0.012232100000000,4,28,17,1415,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32,10742435
0.012284300000000,4,29,17,1138,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|126|35|12|182|1|0|0|0|0|16,587070
0.012388710000000,4,31,17,1944,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|42|3|253|1|76|124|127|25|0|48,5890564
0.012440910000000,4,32,17,543,52,82|211|95|127|253|245|215|30|49|227|31|87|127|100|0|0|53|3|0|0|32|112|126|254|0|0|0|0|0|0|0|0|0|240,7333345
0.012493110000000,4,33,17,1002,52,57|10|0|2|0|8|255|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|192,6001219
0.012545310000000,4,34,17,501,52,250|3|255|255|224|254|31|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|128,12971763
0.012597510000000,0,35,17,0,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6434941
0.012649680000000,0,36,17,1483,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,2105856
0.012754340000000,0,38,17,1569,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6676747
0.012806170000000,0,39,17,2004,52,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,15316587
